"in", 1, 2, 3, 4
0.246, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.289, 1, 0, 0, 0
0.305, 1, 0, 0, 0
0.306, 1, 0, 0, 0
0.302, 1, 0, 0, 0
0.305, 1, 0, 0, 0
0.305, 1, 0, 0, 0
0.304, 1, 0, 0, 0
0.303, 1, 0, 0, 0
0.288, 1, 0, 0, 0
0.311, 1, 0, 0, 0
0.307, 1, 0, 0, 0
0.308, 1, 0, 0, 0
0.311, 1, 0, 0, 0
0.308, 1, 0, 0, 0
0.306, 1, 0, 0, 0
0.311, 1, 0, 0, 0
0.306, 1, 0, 0, 0
0.305, 1, 0, 0, 0
0.279, 1, 0, 0, 0
0.589, 1, 0, 1, 0
0.804, 1, 0, 1, 0
0.799, 1, 0, 1, 0
0.8,   1, 0, 1, 0
0.8,   1, 0, 1, 0
0.796, 1, 0, 1, 0
0.793, 1, 0, 1, 0
0.793, 1, 0, 1, 0
0.79,  1, 0, 1, 0
0.795, 1, 0, 1, 0
0.791, 1, 0, 1, 0
0.797, 1, 0, 1, 0
0.792, 1, 0, 1, 0
0.789, 1, 0, 1, 0
0.792, 1, 0, 1, 0
0.791, 1, 0, 1, 0
0.792, 1, 0, 1, 0
0.791, 1, 0, 1, 0
0.796, 1, 0, 1, 0
0.796, 1, 0, 1, 0
0.795, 1, 0, 1, 0
0.787, 1, 0, 1, 0
0.794, 1, 0, 1, 0
0.79,  1, 0, 1, 0
0.801, 1, 0, 1, 0
0.802, 1, 0, 1, 0
0.805, 1, 0, 1, 0
0.8,   1, 0, 1, 0
0.809, 1, 0, 1, 0
0.81,  1, 0, 1, 0
0.812, 1, 0, 1, 0
0.809, 1, 0, 1, 0
0.802, 1, 0, 1, 0
0.811, 1, 0, 1, 0
0.753, 0, 0, 1, 0
0.751, 0, 0, 1, 0
0.762, 0, 0, 1, 0
0.755, 0, 0, 1, 0
0.755, 0, 0, 1, 0
0.76, 0, 0, 1, 0
0.754, 0, 0, 1, 0
0.753, 0, 0, 1, 0
0.752, 0, 0, 1, 0
0.753, 0, 0, 1, 0
0.755, 0, 0, 1, 0
0.756, 0, 0, 1, 0
0.751, 0, 0, 1, 0
0.753, 0, 0, 1, 0
0.751, 0, 0, 1, 0
0.756, 0, 0, 1, 0
0.758, 0, 0, 1, 0
0.75, 0, 0, 1, 0
0.751, 0, 0, 1, 0
0.755, 0, 0, 1, 0
0.752, 0, 0, 1, 0
0.749, 0, 0, 1, 0
0.551, 0, 0, 1, 0
0.75, 0, 0, 1, 0
0.766, 0, 0, 1, 0
0.752, 0, 0, 1, 0
0.914, 0, 1, 1, 0
0.914, 0, 1, 1, 0
0.917, 0, 1, 1, 0
0.912, 0, 1, 1, 0
0.911, 0, 1, 1, 0
0.913, 0, 1, 1, 0
0.909, 0, 1, 1, 0
0.911, 0, 1, 1, 0
0.913, 0, 1, 1, 0
0.911, 0, 1, 1, 0
0.909, 0, 1, 1, 0
0.907, 0, 1, 1, 0
0.908, 0, 1, 1, 0
0.912, 0, 1, 1, 0
0.917, 0, 1, 1, 0
0.911, 0, 1, 1, 0
0.917, 0, 1, 1, 0
0.912, 0, 1, 1, 0
0.912, 0, 1, 1, 0
0.911, 0, 1, 1, 0
0.91, 0, 1, 1, 0
0.906, 0, 1, 1, 0
0.913, 0, 1, 1, 0
0.912, 0, 1, 1, 0
0.915, 0, 1, 1, 0
0.917, 0, 1, 1, 0
0.913, 0, 1, 1, 0
0.916, 0, 1, 1, 0
0.901, 0, 1, 1, 0
0.91, 0, 1, 1, 0
0.908, 0, 1, 1, 0
0.907, 0, 1, 1, 0
0.906, 0, 1, 1, 0
0.908, 0, 1, 1, 0
0.911, 0, 1, 1, 0
0.91, 0, 1, 1, 0
0.905, 0, 1, 1, 0
0.901, 0, 1, 1, 0
0.905, 0, 1, 1, 0
0.906, 0, 1, 1, 0
0.906, 0, 1, 1, 0
0.903, 0, 1, 1, 0
0.906, 0, 1, 1, 0
0.906, 0, 1, 1, 0
0.906, 0, 1, 1, 0
0.393, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.388, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.4, 0, 1, 0, 0
0.394, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.389, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.388, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.396, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.389, 0, 1, 0, 0
0.389, 0, 1, 0, 0
0.406, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.389, 0, 1, 0, 0
0.388, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.385, 0, 1, 0, 0
0.406, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.389, 0, 1, 0, 0
0.394, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.397, 0, 1, 0, 0
0.396, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.406, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.396, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.388, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.397, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.393, 0, 1, 0, 0
0.394, 0, 1, 0, 0
0.394, 0, 1, 0, 0
0.432, 1, 1, 0, 0
0.414, 1, 1, 0, 0
0.406, 1, 1, 0, 0
0.41, 1, 1, 0, 0
0.415, 1, 1, 0, 0
0.415, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.451, 1, 1, 0, 0
0.51, 1, 1, 0, 0
0.451, 1, 1, 0, 0
0.448, 1, 1, 0, 0
0.451, 1, 1, 0, 0
0.451, 1, 1, 0, 0
0.448, 1, 1, 0, 0
0.447, 1, 1, 0, 0
0.450, 1, 1, 0, 0
0.448, 1, 1, 0, 0
0.447, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.448, 1, 1, 0, 0
0.444, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.446, 1, 1, 0, 0
0.44, 1, 1, 0, 0
0.443, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.448, 1, 1, 0, 0
0.446, 1, 1, 0, 0
